StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,"Q19 ","Q20 ",Q21,"Q22 ",Q23,Q24,Q25,Q26,"Q27 ",Q28
2024-09-05 16:03:58,2024-09-05 16:07:37,0,130.64.22.2,100,218,1,2024-09-05 16:07:37,R_3amfJt2hxkILtfu,,,,,42.4178,-71.1134,anonymous,EN,3,3,3,3,2,5,3,5,1,1,4,4,4,4,3,4,4,4,5,4,3,3,4,2,4,3,4,3
2024-09-05 16:20:57,2024-09-05 16:24:18,0,130.64.22.2,100,201,1,2024-09-05 16:24:19,R_5Rlk0lTxcwJldE5,,,,,42.4178,-71.1134,anonymous,EN,3,3,4,5,4,6,4,5,2,2,2,3,4,4,2,4,4,4,2,2,4,1,1,1,1,4,1,5
2024-09-05 16:48:11,2024-09-05 16:52:54,0,130.64.22.2,100,283,1,2024-09-05 16:52:55,R_8IcICXAVXv12ZHL,,,,,42.4178,-71.1134,anonymous,EN,4,3,2,5,3,6,3,5,2,1,4,4,1,1,2,2,3,2,3,4,4,3,4,4,2,3,3,4
2024-09-05 17:20:08,2024-09-05 17:22:34,0,130.64.22.2,100,146,1,2024-09-05 17:22:35,R_1i2Rzus2PyO2P6l,,,,,42.4178,-71.1134,anonymous,EN,3,4,1,4,3,6,3,5,1,3,3,5,5,5,5,5,4,4,2,5,3,1,5,4,4,4,4,4
2024-09-05 17:28:52,2024-09-05 17:32:13,0,130.64.22.2,100,200,1,2024-09-05 17:32:13,R_2NXsx84flI8fwqj,,,,,42.4178,-71.1134,anonymous,EN,4,4,2,3,1,5,2,5,1,1,4,3,4,4,4,4,2,4,4,5,3,2,4,4,2,4,4,4
2024-09-05 17:38:12,2024-09-05 17:39:21,0,130.64.22.2,100,69,1,2024-09-05 17:39:21,R_64HLypXlyOJ0fOC,,,,,42.4178,-71.1134,anonymous,EN,4,5,4,4,3,5,3,4,3,3,4,2,4,3,3,2,4,4,3,2,2,4,4,4,4,2,2,4
2024-09-05 18:00:56,2024-09-05 18:07:28,0,130.64.22.2,100,392,1,2024-09-05 18:07:29,R_5BueHIo90OfN8nT,,,,,42.4178,-71.1134,anonymous,EN,4,3,2,2,1,5,1,3,1,1,2,2,1,1,2,2,2,4,3,5,4,3,4,4,2,3,4,5
2024-09-05 18:17:52,2024-09-05 18:26:54,0,130.64.22.2,100,542,1,2024-09-05 18:26:55,R_7dyNwXgl1N3AorG,,,,,42.4178,-71.1134,anonymous,EN,3,3,2,4,1,6,3,4,1,1,4,4,4,4,4,4,4,4,4,4,4,5,5,2,4,3,2,4
2024-09-06 13:34:24,2024-09-06 13:42:51,0,130.64.22.2,100,507,1,2024-09-06 13:42:52,R_1asi6yHwFQWoMCM,,,,,42.4178,-71.1134,anonymous,EN,5,4,2,3,2,6,3,5,1,3,5,5,5,5,5,5,2,3,3,4,4,4,3,4,3,4,3,4
2024-09-06 13:43:40,2024-09-06 13:51:17,0,130.64.22.2,100,457,1,2024-09-06 13:51:18,R_6ctKHxobZv477s0,,,,,42.4178,-71.1134,anonymous,EN,5,2,3,1,2,6,3,4,1,5,4,4,4,4,3,3,4,3,2,2,2,4,2,2,2,2,4,2
2024-09-06 14:01:00,2024-09-06 14:07:33,0,130.64.22.2,100,392,1,2024-09-06 14:07:33,R_6HUBBbkhEJJAyBO,,,,,42.4178,-71.1134,anonymous,EN,3,1,1,5,4,6,4,5,1,1,4,2,4,4,3,4,3,4,2,4,4,3,4,2,3,3,5,4
2024-09-06 14:42:21,2024-09-06 14:49:30,0,130.64.22.2,100,428,1,2024-09-06 14:49:30,R_5dMjkfnaiECJCXf,,,,,42.4178,-71.1134,anonymous,EN,3,4,3,4,3,5,3,4,1,4,4,4,4,4,4,4,3,4,3,4,4,4,4,3,3,3,3,5
2024-09-06 14:53:54,2024-09-06 15:02:18,0,130.64.22.2,100,504,1,2024-09-06 15:02:19,R_3hfNqpgzoSQCHau,,,,,42.4178,-71.1134,anonymous,EN,4,4,3,2,1,6,3,4,1,1,4,3,4,3,3,3,2,1,3,4,3,2,4,1,4,3,5,3
2024-09-06 15:02:51,2024-09-06 15:07:50,0,130.64.22.2,100,298,1,2024-09-06 15:07:51,R_3KxawPTUSnJ1WLP,,,,,42.4178,-71.1134,anonymous,EN,3,3,2,3,1,5,1,5,1,1,4,5,2,1,5,5,2,4,3,2,5,4,1,1,3,3,4,5
2024-09-06 15:23:12,2024-09-06 15:27:43,0,130.64.22.2,100,271,1,2024-09-06 15:27:44,R_3EveYjEqizJhlnQ,,,,,42.4178,-71.1134,anonymous,EN,4,5,3,2,1,5,3,5,1,1,4,4,2,3,5,4,4,3,4,5,5,3,4,2,3,3,4,4
2024-09-06 16:13:34,2024-09-06 16:18:34,0,130.64.22.2,100,300,1,2024-09-06 16:18:35,R_3IPZSXrPLJzytaZ,,,,,42.4178,-71.1134,anonymous,EN,4,4,3,5,4,6,4,5,2,4,5,5,3,2,5,5,3,2,2,5,3,3,5,4,1,5,4,4
2024-09-06 16:21:57,2024-09-06 16:26:02,0,130.64.22.2,100,244,1,2024-09-06 16:26:03,R_6WGexM6BXWsU1Eg,,,,,42.4178,-71.1134,anonymous,EN,5,5,4,4,3,5,2,5,1,1,4,4,4,4,4,4,4,4,5,5,2,5,4,4,3,4,3,4
2024-09-06 16:35:08,2024-09-06 16:41:05,0,130.64.22.2,100,356,1,2024-09-06 16:41:05,R_7neKZhOA51VTQWW,,,,,42.4178,-71.1134,anonymous,EN,4,3,1,2,1,5,1,2,1,1,3,2,4,2,4,2,1,3,4,5,3,2,2,2,3,4,5,2
2024-09-06 17:04:02,2024-09-06 17:08:18,0,130.64.22.2,100,256,1,2024-09-06 17:08:19,R_7Uaz7wOdwWO8H4g,,,,,42.4178,-71.1134,anonymous,EN,2,5,3,5,4,5,4,5,2,4,4,5,4,4,5,4,4,4,4,4,5,2,5,3,4,4,5,5
2024-09-06 17:58:42,2024-09-06 18:02:11,0,130.64.22.2,100,209,1,2024-09-06 18:02:11,R_5fkwDprdPJhdjo5,,,,,42.4178,-71.1134,anonymous,EN,2,2,2,5,4,5,4,5,1,1,4,4,2,2,3,4,3,4,3,2,4,2,4,2,4,4,4,4
2024-09-06 20:15:43,2024-09-06 20:20:04,0,96.237.118.113,100,261,1,2024-09-06 20:20:05,R_37wiHgupMIwXZwO,,,,,42.4178,-71.1134,anonymous,EN,3,4,2,1,1,6,1,5,1,1,5,4,4,3,4,5,5,4,4,5,3,4,1,2,2,3,4,5
2024-09-12 15:48:23,2024-09-12 15:54:11,0,130.64.22.2,100,347,1,2024-09-12 15:54:11,R_1noaA9g3k5qlOVz,,,,,42.4178,-71.1134,anonymous,EN,4,4,4,5,4,6,4,5,2,4,4,5,3,2,4,5,2,3,2,5,3,2,5,4,1,4,4,3
2024-09-12 16:24:00,2024-09-12 16:28:38,0,130.64.22.2,100,277,1,2024-09-12 16:28:39,R_6giGWlfedSBbJYg,,,,,42.4178,-71.1134,anonymous,EN,2,2,2,5,4,5,4,5,1,1,4,4,3,3,3,4,2,3,3,3,4,2,4,2,4,4,4,3
2024-09-13 17:29:38,2024-09-13 17:37:20,0,96.237.118.113,100,462,1,2024-09-13 17:37:21,R_71yppl5vN1ps11h,,,,,42.4178,-71.1134,anonymous,EN,5,5,5,4,3,6,3,4,1,3,5,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,2,2
2024-09-13 17:55:15,2024-09-13 17:58:17,0,96.237.118.113,100,181,1,2024-09-13 17:58:17,R_6ci3HyLc6h79WBs,,,,,42.4178,-71.1134,anonymous,EN,4,4,2,1,1,6,1,3,1,1,4,3,4,4,3,3,4,4,4,5,3,3,2,2,4,3,4,5
